,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
a1,0.11083368800719631,0.017851195953436715,0.0591734088086143,0.008985703013598616,0.03726512286576015,0.03747549049484105,0.1524864785652153,0.04604045825027786,0.05532668644827777,0.07969927890322251,0.11011242756463321,0.04826434461484742,0.10157751232763654,0.06124703258098321,0.07489087595280185,0.06906068737541679,0.1532978965630988,0.08766319628985673,0.08471804948272407,0.11287725926112509
a2,0.11611542999505005,0.03714349874459887,0.02818426286650467,0.07650814138397527,0.003975660920904301,0.10622294037965437,0.14551292272004665,0.08759519578311684,0.014670748750379253,0.054539348407898446,0.17896073666493165,0.04020457100294773,0.10394580126063875,0.07113259985711874,0.0215768264064102,0.00494624480769784,0.08738987996091051,0.07215917896815037,0.054931314977565066,0.0650477854899131
a3,0.025630551210088802,0.022730744321356126,0.03289565879153733,0.01833426290940659,0.027719659398745676,0.036481441503411066,0.06345276364054832,0.08418794193094863,0.05057512659703654,0.003055710484901098,0.028062647310316206,0.016120431843814977,0.0005612529462063242,0.0608335832249188,0.002182650346357927,0.03323864670310786,0.06070886034798406,0.019830937432623454,0.04200042880777326,0.0007795179808421168
a4,0.19818584862992406,0.012318512816714132,0.08373633749772395,0.05932093428378679,0.0025486578241477515,0.10652650963539297,0.27527351354291474,0.008513994615450098,0.018560877632380363,0.0067964208643940035,0.2613667067198477,0.01966898972983591,0.16560735296473106,0.14405457266922073,0.02338116525631198,0.05723398983357885,0.21663591505255886,0.13701806085037802,0.13129281501352438,0.1341923750018664
