,z1,z2,z3,z4
a1,0.13918334526305923,0.1243622061036992,0.07743964719670537,0.14148802829287407
a2,0.15501440137482037,0.19332412100738258,0.07671792752496691,0.18846911437025707
a3,0.044076776727928056,0.05138471549061001,0.0733739826812717,0.05596480302561464
a4,0.26378506409449604,0.2965532060864948,0.16563966236498304,0.30498654247715307
