,z1,z2,z3,z4
a1,0.04989646984291057,0.02368735181593582,0.07254181149979808,0.08183702014510874
a2,0.0676257024259934,0.07288870121340237,0.05108084494350372,0.10403731617264492
a3,0.03159698886282381,0.04822689229543475,0.0009861389673997828,0.06413454035466967
a4,0.115555431595253,0.11418672376810046,0.09440495276443928,0.18988014635451322
