,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
a1,0.21400398381215968,0.18665619203164216,0.09818157774390193,0.20591985635176493,0.03161524939901587,0.015477046996666513,0.03371892568982491,0.07741528750177269,0.011840692265410886,0.02794884214932011,0.03957916678565009,0.025304220526588744,0.07128457373998634,0.015416941959786254,0.03011262347700941,0.09415454027292464,0.0676181664902906,0.007933864868194095,0.03011262347700941,0.040420637301973705
a2,0.18853592000964484,0.20380395115189703,0.07818799811111793,0.20175079292983378,0.042724356093661715,0.011889652613220844,0.006178139740935793,0.13916679730639658,0.023256683133552863,0.08162237186438737,0.05222487913939078,0.023256683133552863,0.04083918354431273,0.08473943934697431,0.042743021168407745,0.01614528965531559,0.06583171862924635,0.002015828072571195,0.001698521801888692,0.002034493147317225
a3,0.010694986697153843,0.03277093591460259,0.06074004106721775,0.03919416407674164,0.016712865509254986,0.06735035354475889,0.0162763354399834,0.05076221091243865,0.0321473215299289,0.010663805977920158,0.032864478072303645,0.030338839814375188,0.02628534631399618,0.004957734358155864,0.0019955660309558193,0.006142601689035881,0.006423228162139043,0.03233440584533101,0.012503468412707554,0.02226303353285086
a4,0.3243998165301105,0.33577643406398744,0.17367810274119894,0.34938774432773306,0.032744712479811325,0.06116778777954603,0.036475356541244994,0.06005967568209049,0.011247337789173773,0.06990340481448724,0.007886064426891956,0.05653218550519034,0.09978549437587174,0.0962580041989716,0.024969459262664927,0.04552493867046527,0.01977980093958146,0.026022165755247694,0.012780226190653943,0.013666715868618376
